"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Alerts, Frame & Windows  - Alerts","","0","0","5","0","0"
"","Elements - Wev Tables","","0","0","4","0","0"
"","Elements - Dynamic Properties","","0","0","3","0","0"
"","Widgets","","2","0","3","0","0"
"","Forms - Practice Form","","0","1","0","0","0"
"","Elements - Links","","0","0","8","0","0"
"","Elements - Buttons","","0","0","3","0","0"
"","Elements - Broken_Links_Images","","0","0","4","0","0"
"","Elements - Radio Button","","0","0","2","0","0"
"","Alerts, Frame & Windows - Browser_Windows","","0","0","1","0","0"
"","Alerts, Frame & Windows  - Frames","","0","0","1","0","0"
"","Elements - Check Box","","0","0","1","0","0"
"","Elements - Text Box","","0","0","1","0","0"
"","Elements - Upload Files","","0","0","1","0","0"
