"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Feb 01 11:08:40 EET 2025","Sat Feb 01 11:08:52 EET 2025","11997","tests","test_links","TestLinks","","","Verify forbidden link",""
"passed","Sat Feb 01 11:06:50 EET 2025","Sat Feb 01 11:07:02 EET 2025","12270","tests","test_dynamic_properties","TestDynamicProperties","","","Test change color",""
"passed","Sat Feb 01 11:04:49 EET 2025","Sat Feb 01 11:05:01 EET 2025","12149","tests","test_broken_links_images","TestBrokenLinksImages","","","Verify opening broken link",""
"passed","Sat Feb 01 11:10:09 EET 2025","Sat Feb 01 11:10:23 EET 2025","14049","tests","test_web_tables","TestWebTables","","","Add new person in web tables",""
"passed","Sat Feb 01 11:08:36 EET 2025","Sat Feb 01 11:08:39 EET 2025","2675","tests","test_links","TestLinks","","","Verify unauthorized link",""
"passed","Sat Feb 01 11:04:35 EET 2025","Sat Feb 01 11:04:48 EET 2025","12664","tests","test_broken_links_images","TestBrokenLinksImages","","","Verify opening valid link",""
"passed","Sat Feb 01 11:07:43 EET 2025","Sat Feb 01 11:07:55 EET 2025","12001","tests","test_links","TestLinks","","","Verify created link",""
"passed","Sat Feb 01 11:08:23 EET 2025","Sat Feb 01 11:08:35 EET 2025","11976","tests","test_links","TestLinks","","","Verify bad request link",""
"passed","Sat Feb 01 11:04:09 EET 2025","Sat Feb 01 11:04:21 EET 2025","11857","tests","test_broken_links_images","TestBrokenLinksImages","","","Test valid image is displayed correctly",""
"passed","Sat Feb 01 11:07:03 EET 2025","Sat Feb 01 11:07:15 EET 2025","11671","tests","test_dynamic_properties","TestDynamicProperties","","","Test appearance button",""
"passed","Sat Feb 01 11:10:38 EET 2025","Sat Feb 01 11:10:51 EET 2025","12643","tests","test_web_tables","TestWebTables","","","Edit person from web tables",""
"passed","Sat Feb 01 11:10:52 EET 2025","Sat Feb 01 11:11:05 EET 2025","13004","tests","test_web_tables","TestWebTables","","","Delete a random person and verify deletion",""
"passed","Sat Feb 01 11:03:41 EET 2025","Sat Feb 01 11:03:54 EET 2025","13011","tests","test_auto_complete","TestAutoComplete","","","Test multiple names input",""
"broken","Sat Feb 01 11:02:09 EET 2025","Sat Feb 01 11:02:35 EET 2025","26814","tests","test_alerts","TestAlerts","","","Click on the alert button",""
"passed","Sat Feb 01 11:03:55 EET 2025","Sat Feb 01 11:04:08 EET 2025","12646","tests","test_auto_complete","TestAutoComplete","","","Test single name input",""
"passed","Sat Feb 01 11:07:56 EET 2025","Sat Feb 01 11:08:09 EET 2025","12857","tests","test_links","TestLinks","","","Verify no content link",""
"passed","Sat Feb 01 11:09:12 EET 2025","Sat Feb 01 11:09:24 EET 2025","11868","tests","test_radio_button","TestRadioButton","","","Select and verify a random radio button",""
"passed","Sat Feb 01 11:05:42 EET 2025","Sat Feb 01 11:05:53 EET 2025","11657","tests","test_buttons","TestButtons","","","A click",""
"passed","Sat Feb 01 11:03:28 EET 2025","Sat Feb 01 11:03:40 EET 2025","11824","tests","test_alerts","TestAlerts","","","Click on input alert button",""
"passed","Sat Feb 01 11:07:29 EET 2025","Sat Feb 01 11:07:42 EET 2025","13473","tests","test_links","TestLinks","","","Verify switching to new tab",""
"passed","Sat Feb 01 11:05:55 EET 2025","Sat Feb 01 11:06:09 EET 2025","14406","tests","test_check_box","TestCheckBox","","","Click on the checkboxes",""
"passed","Sat Feb 01 11:09:06 EET 2025","Sat Feb 01 11:09:11 EET 2025","4956","tests","test_practice_form","TestPracticeForm","","","Complete practice form",""
"passed","Sat Feb 01 11:06:10 EET 2025","Sat Feb 01 11:06:22 EET 2025","12295","tests","test_date_picker","TestDatePicker","","","Test select date in calendar",""
"passed","Sat Feb 01 11:09:52 EET 2025","Sat Feb 01 11:10:08 EET 2025","16703","tests","test_upload_files","TestUploadFiles","","","Test uploaded file",""
"passed","Sat Feb 01 11:03:24 EET 2025","Sat Feb 01 11:03:27 EET 2025","3129","tests","test_alerts","TestAlerts","","","Click on confirm alert button",""
"passed","Sat Feb 01 11:05:02 EET 2025","Sat Feb 01 11:05:14 EET 2025","12534","tests","test_browser_wondows","TestBrowserWindows","","","Test opened new window",""
"failed","Sat Feb 01 11:06:23 EET 2025","Sat Feb 01 11:06:36 EET 2025","12701","tests","test_date_picker","TestDatePicker","","","Test select date and time in calendar",""
"passed","Sat Feb 01 11:04:22 EET 2025","Sat Feb 01 11:04:34 EET 2025","12657","tests","test_broken_links_images","TestBrokenLinksImages","","","Test broken image is not displayed",""
"passed","Sat Feb 01 11:09:25 EET 2025","Sat Feb 01 11:09:37 EET 2025","12451","tests","test_radio_button","TestRadioButton","","","Verify 'No' radio button is disabled",""
"passed","Sat Feb 01 11:08:53 EET 2025","Sat Feb 01 11:09:05 EET 2025","12099","tests","test_links","TestLinks","","","Verify not found link",""
"passed","Sat Feb 01 11:10:24 EET 2025","Sat Feb 01 11:10:37 EET 2025","12661","tests","test_web_tables","TestWebTables","","","Search person in web tables",""
"passed","Sat Feb 01 11:05:29 EET 2025","Sat Feb 01 11:05:41 EET 2025","11806","tests","test_buttons","TestButtons","","","Right click",""
"broken","Sat Feb 01 11:02:55 EET 2025","Sat Feb 01 11:03:23 EET 2025","27560","tests","test_alerts","TestAlerts","","","Click on confirm alert button",""
"passed","Sat Feb 01 11:08:10 EET 2025","Sat Feb 01 11:08:22 EET 2025","11999","tests","test_links","TestLinks","","","Verify moved link",""
"passed","Sat Feb 01 11:07:16 EET 2025","Sat Feb 01 11:07:28 EET 2025","11659","tests","test_frames","TestFrames","","","Click on the alert button",""
"passed","Sat Feb 01 11:09:38 EET 2025","Sat Feb 01 11:09:50 EET 2025","12232","tests","test_text_box","TestTextBox","","","Completing the text box fields",""
"passed","Sat Feb 01 11:05:15 EET 2025","Sat Feb 01 11:05:28 EET 2025","12627","tests","test_buttons","TestButtons","","","Double click",""
"passed","Sat Feb 01 11:01:54 EET 2025","Sat Feb 01 11:02:08 EET 2025","13633","tests","test_accordian","TestAccordian","","","Test accordian",""
"passed","Sat Feb 01 11:06:37 EET 2025","Sat Feb 01 11:06:49 EET 2025","11498","tests","test_dynamic_properties","TestDynamicProperties","","","Test enable button",""
"passed","Sat Feb 01 11:02:37 EET 2025","Sat Feb 01 11:02:54 EET 2025","17526","tests","test_alerts","TestAlerts","","","Click on the 5 seconds alert button",""
